source,author,title,description,url,urlToImage,publishedAt
b'Jeuneafrique.com',b'Frida Dahmani',b'Kafka a Tunis',"b'Apres le retrait de la Tunisie sur la liste noire des "" juridictions non cooperatives en matiere fiscale "", le 23 janvier dernier, le gouvernement tunisien n\'a pas d\'autre choix que de remettre le pays sur les rails, analyse Frida Dahmani, journaliste a JA.'",b'http://www.jeuneafrique.com/mag/531860/politique/kafka-a-tunis/',b'http://www.jeuneafrique.com/medias/2017/11/01/sipa_ap22123756_000003-640x320-1509545287.jpg',b'2018-03-02T16:03:00Z'
b'Allafrica.com',b'',b'Tunisie:Un mort et 60 blesses dans la collision de deux trains de la banlieue sud',"b"" Tunis -La collision entre deux trains de passagers reliant la banlieue sud de Tunis a fait un mort et 60 blesses jeudi soir, selon un premier bilan annonce par le ministere de l'interieur.""",b'http://fr.allafrica.com/stories/201805040237.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-04T08:03:46Z'
b'Allafrica.com',b'',"b""Tunisie:Jamel Ben Guirat nouveau coordinateur de la redaction nationale a l'Agence TAP""","b"" Tunis -Le journaliste, Jamel Ben Guirat, a ete elu nouveau coordinateur de la redaction nationale a l'Agence Tunis-Afrique-Presse (TAP) pour un mandat de deux ans.""",b'http://fr.allafrica.com/stories/201804280041.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-28T01:39:32Z'
b'Allafrica.com',b'',"b""Tunisie:L'UE promet d'aider financierement la Tunisie jusqu'en 2020 (Jean-Claude Juncker)""","b"" Tunis/Tunisie -- L'Union europeenne va aider financierement la Tunisie jusqu'en 2020, a promis mardi a Bruxelles le president de la commission europeenne Jean-Claude Juncker.""",b'http://fr.allafrica.com/stories/201804250579.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-25T11:55:31Z'
b'Espacemanager.com',b'None',"b""Tuni'SEO ISG : Nouveau Club universitaire de marketing digital""","b'Tuni\xe2\x80\x99SEO ISG Club, c\xe2\x80\x99est un nouveau club universitaire specialise dans le marketing digital qui sera lance a l\xe2\x80\x99Institut Superieur de Gestion de Tunis (ISG Tunis).'",b'https://www.espacemanager.com/tuniseo-isg-nouveau-club-universitaire-de-marketing-digital.html',b'https://www.espacemanager.com/sites/default/files/field/image/tuniseo_isg_club.jpg',b'2018-03-02T17:56:34Z'
b'Liberation',b'Liberation.fr',b'Boulevard de cliches a Tunis',"b'Trop simpliste et manquant de rythme, \xc2\xabl\xe2\x80\x99Amour des hommes\xc2\xbb, de Mehdi Ben Attia, dresse le portrait d\xe2\x80\x99une jeune veuve qui s\xe2\x80\x99emancipe par la photo de charme au masculin.'",b'http://next.liberation.fr/cinema/2018/02/27/boulevard-de-cliches-a-tunis_1632717',b'http://md1.libe.com/photo/1100414-photo_hd_05jpg.jpg?modified_at=1519755675&amp;picto=fb&amp;ratio_x=191&amp;ratio_y=100&amp;width=600',b'2018-02-27T18:16:12Z'
b'Allafrica.com',b'',"b""Tunisie:Municipales - Resultats preliminaires de l'Ariana""","b"" Tunis -Voici les resultats preliminaires des elections municipales dans les circonscriptions de l'Ariana""",b'http://fr.allafrica.com/stories/201805110058.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T01:31:28Z'
b'Ledevoir.com',b'webmestre@ledevoir.com (Agence France-Presse)',b'Ennahdha en tete mais sans majorite a Tunis',b'Tunis \xe2\x80\x94 Le parti islamiste Ennahdha est arrive en tete a Tunis a l\xe2\x80\x99issue des premieres municipales...',b'https://www.ledevoir.com/monde/afrique/527401/ennahdha-en-tete-mais-sans-majorite-a-tunis',b'//www.ledevoir.com/images/ul/graphiques/logo_devoir_facebook.gif?20131118',b'2018-05-10T01:57:02Z'
b'Allafrica.com',b'',"b""Tunisie:Chahed - L'Accord de Libre Echange Complet et Approfondi avec l'UE sera signe en 2019""","b"" Tunis/Tunisie -L'Accord de Libre Echange Complet et Approfondi (ALECA) entre la Tunisie et l'Union europeenne (UE) sera signe en 2019, a declare, mardi, a Bruxelles le chef du gouvernement, Youssef Chahed.""",b'http://fr.allafrica.com/stories/201804250580.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-25T11:55:35Z'
b'Allafrica.com',b'',b'Tunisie:Municipales-2018 - Taux de participation des securitaires et militaires a atteint 12%',"b"" Tunis -Le taux de participation des securitaires et militaires au vote pour les elections municipales 2018 a atteint 12% a l'echelle nationale, a annonce, dimanche soir, l'Instance Superieure Independante pour les Elections (ISIE).""",b'http://fr.allafrica.com/stories/201804300614.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-30T11:10:01Z'
b'Allafrica.com',b'',b'Tunisie:Ajustement partiel des prix de vente des produits petroliers',"b"" Tunis -Le ministere de l'Energie, des mines et des energies renouvelables a annonce, qu'a partir du dimanche 1er avril 2018, a zero heure, les prix de vente au public des produits petroliers seront modifies comme suit :""",b'http://fr.allafrica.com/stories/201804020352.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-02T18:41:05Z'
b'Allafrica.com',b'',"b""Tunisie:Le Syndicat general de l'information brandi la menace de greve generale dans l'ensemble des medias publics""","b"" Tunis -Le Syndicat general de l'Information a brandi, samedi, la \xc2\xab menace de greve generale \xc2\xbb, sur fond du climat difficile qui prevaut dans les organes de presse publique et les etablissements mediatiques confisques.""",b'http://fr.allafrica.com/stories/201803310264.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-03-31T19:45:43Z'
b'Allafrica.com',b'',"b""Algerie:L'Algerie decroche 4 prix au Festival arabe des radios et televisions a Tunis""","b""[Algerie Presse Service] Tunis -L'Algerie a decroche quatre prix a la 19e session du Festival arabe des radios et televisions tenu a Tunis, trois pour la Television algerienne et un pour la Radio nationale.""",b'http://fr.allafrica.com/stories/201804301034.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-30T17:16:20Z'
b'Allafrica.com',b'',"b""Tunisie:Les elections municipales n'est pas un conflit politique, estime Abdelfattah Mourou""","b"" Tunis -Les elections municipales n'est pas un conflit entre les partis politiques, mais plutot, une concurrence au service de l'interet general du pays a affirme, jeudi, le vice-president du mouvement Ennahdha Abdelfattah Mourou.""",b'http://fr.allafrica.com/stories/201805030936.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-03T17:21:14Z'
b'Challenges.fr',b'Challenges.fr',b'L\xe2\x80\x99eloge d\xe2\x80\x99un diplomate: embarquement pour Tunis',"b'L\xe2\x80\x99ambassadeur de France en Tunisie raconte son coup de coeur pour un pays qu\xe2\x80\x99il a decouvert il y a trente ans. Pour ses sites archeologiques, ses evocations litteraires, son elan democratique, l\xe2\x80\x99enthousiasme de sa population surtout.'",b'https://www.challenges.fr/monde/afrique/l-eloge-d-un-diplomate-embarquement-pour-tunis_577490?xtor=RSS-32',b'None',b'2018-04-01T12:00:00Z'
b'Allafrica.com',b'',b'Tunisie:Municipales 2018 - Resultats preliminaires dans la circonscription du Kef',b' Tunis -Voici les resultats preliminaires des elections municipales dans la circonscription du Kef:',b'http://fr.allafrica.com/stories/201805110206.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T08:17:06Z'
b'Allafrica.com',b'',b'Tunisie:Municipales 2018 - Resultats preliminaires dans le gouvernorat de Beja',b' Tunis -Les resultats preliminaires des elections municipales 2018 dans le gouvernorat de Beja sont comme suit :',b'http://fr.allafrica.com/stories/201805110039.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T01:14:33Z'
b'Allafrica.com',b'',b'Tunisie:Municipales 2018 - Resultats preliminaires dans le gouvernorat de Sidi Bouzid',b' Tunis -Les resultats preliminaires des elections municipales 2018 dans le gouvernorat de Sidi Bouzid sont comme suit :',b'http://fr.allafrica.com/stories/201805110038.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T01:14:22Z'
b'Lexpress.fr',b'None',"b""Des Tunisiennes manifestent pour reclamer l'egalite dans l'heritage""","b'Tunis - Plus d\'un millier de Tunisiens, en majorite des femmes, ont defile samedi a Tunis pour reclamer l\'egalite des sexes en matiere d\'heritage, scandant que c\'etait ""un droit, pas une faveur"".'",b'https://www.lexpress.fr/actualites/1/monde/des-tunisiennes-manifestent-pour-reclamer-l-egalite-dans-l-heritage_1991394.html',"b'https://static.lexpress.fr/medias_11775/w_605,h_350,c_fill,g_north/v1520713989/de-tunisiens-en-majorite-des-femmes-defilent-a-tunis-pour-reclamer-l-egalite-des-sexes-en-matiere-d-heritage-le-10-mars-2018_6028988.jpg'",b'2018-03-10T20:32:09Z'
b'Allafrica.com',b'',b'Tunisie:Municipales 2018 - Resultats preliminaires dans la circonscription de Nabeul II',b' Tunis -Voici les resultats preliminaires des elections municipales dans la circonscription de Nabeul II:',b'http://fr.allafrica.com/stories/201805110059.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T01:31:30Z'
b'Allafrica.com',b'',b'Tunisie:Muncipales 2018 - Resultats preliminaires dans la circonscription de Nabeul I',b' Tunis -Voici les resultats preliminaires des elections municipales dans la circonscription de Nabeul I:',b'http://fr.allafrica.com/stories/201805110057.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-11T01:31:23Z'
b'Allafrica.com',b'',b'Tunisie:Municipales 2018 - Nidaa Tounes fait etat de graves infractions lors du deroulement du scrutin',"b"" Tunis -Le Mouvement Nidaa Tounes a fait etat ce dimanche, jour du scrutin municipal, de \xc2\xab graves infractions \xc2\xbb lors du deroulement de l'operation de vote.""",b'http://fr.allafrica.com/stories/201805070949.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-07T17:36:20Z'
b'Allafrica.com',b'',"b""Tunisie:Municipales 2018 - Taux de participation de 21 pc jusqu'a 15h00 (ISIE)""","b"" Tunis -Jusqu'a 15 heures, le taux de participation aux elections municipales a atteint 21 pc, a indique l'Instance superieure independante pour les elections.""",b'http://fr.allafrica.com/stories/201805070527.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-07T10:54:27Z'
b'Allafrica.com',b'',b'Tunisie:Le pays profondement preoccupe par les developpements en Syrie (MAE)',"b"" Tunis -La Tunisie a exprime, samedi, sa profonde preoccupation face aux developpements survenus sur la scene syrienne, exhortant la communaute internationale a redoubler d'efforts pour eviter toute escalade susceptible de compliquer la \xe2\x80\xa6""",b'http://fr.allafrica.com/stories/201804200759.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-20T13:12:37Z'
b'Allafrica.com',b'',b'Tunisie:Decouverte par la methode satellitaire de plusieurs sites archeologiques dans le sud tunisien',"b"" Tunis -Dix nouveaux sites archeologiques datant de l'epoque romaine ont ete trouves dans le sud tunisien grace a l'utilisation pour la premiere fois en Tunisie de la methode satellitaire et des technologies spatiales, et ce, dans le cad\xe2\x80\xa6""",b'http://fr.allafrica.com/stories/201804200763.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-20T13:12:52Z'
